Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
accurate_detection_switch,75.0 ± 2.4,96.1 ± 0.5,94.0 ± 0.2,89.1 ± 0.4,61.2 ± 1.2,57.5 ± 0.8,77.5 ± 1.1,88.3 ± 0.8,78.4 ± 3.5,70.1 ± 2.0,79.0 ± 5.1,97.0 ± 0.9,94.4 ± 0.1,91.6 ± 7.2,79.2 ± 0.0,66.7 ± 11.0
aircraft_model_head,95.4 ± 0.6,99.2 ± 0.2,98.1 ± 0.2,98.0 ± 0.1,56.0 ± 2.4,53.5 ± 0.7,89.2 ± 0.5,20.9 ± 2.5,16.6 ± 2.2,13.0 ± 2.0,97.4 ± 1.1,99.6 ± 0.2,98.6 ± 0.8,20.0 ± 10.6,16.0 ± 8.0,10.7 ± 2.3
angled_toggle_switch,89.7 ± 2.9,98.4 ± 0.5,95.9 ± 0.4,86.0 ± 0.5,38.2 ± 1.5,39.9 ± 1.5,68.3 ± 0.5,51.8 ± 9.1,39.6 ± 8.0,31.2 ± 6.1,95.7 ± 2.3,99.4 ± 0.4,97.7 ± 0.7,25.3 ± 10.1,14.7 ± 12.2,12.0 ± 8.0
audio_jack_socket,69.2 ± 2.1,89.4 ± 0.8,90.9 ± 0.2,77.7 ± 4.3,1.2 ± 0.2,3.1 ± 0.4,45.2 ± 11.2,89.0 ± 4.4,79.2 ± 6.1,68.2 ± 6.5,82.1 ± 2.5,97.5 ± 0.4,94.2 ± 0.1,92.0 ± 8.0,80.0 ± 0.0,65.3 ± 10.1
bag_buckle,88.7 ± 1.7,98.3 ± 0.4,95.8 ± 0.2,99.6 ± 0.1,80.9 ± 1.4,71.7 ± 1.4,97.2 ± 0.2,55.5 ± 3.0,44.8 ± 2.1,34.9 ± 1.2,87.2 ± 7.1,98.2 ± 1.0,96.0 ± 1.3,60.0 ± 28.8,53.3 ± 25.7,46.7 ± 27.2
ball_pin,92.0 ± 1.1,99.0 ± 0.2,94.6 ± 0.4,85.0 ± 1.1,63.5 ± 0.9,63.2 ± 0.6,72.2 ± 0.9,80.7 ± 7.5,56.6 ± 7.5,23.8 ± 9.3,97.1 ± 1.0,99.6 ± 0.1,97.5 ± 0.4,28.0 ± 6.9,14.7 ± 8.3,10.7 ± 6.1
balun_transformer,78.7 ± 0.5,95.2 ± 0.2,91.8 ± 0.1,97.4 ± 0.3,69.6 ± 1.2,63.0 ± 1.0,82.7 ± 2.4,90.5 ± 1.5,81.4 ± 2.9,67.8 ± 4.2,82.1 ± 1.7,97.1 ± 0.4,94.9 ± 0.6,76.0 ± 10.6,66.7 ± 2.3,57.3 ± 2.3
battery,62.1 ± 3.6,92.3 ± 0.9,94.0 ± 0.1,81.5 ± 1.5,8.2 ± 0.4,14.7 ± 0.7,55.1 ± 1.2,95.3 ± 2.8,87.1 ± 5.6,81.4 ± 6.1,66.8 ± 1.9,93.7 ± 0.5,94.2 ± 0.1,96.0 ± 4.0,90.7 ± 2.3,73.3 ± 2.3
battery_holder_connector,69.3 ± 2.7,93.4 ± 1.0,94.7 ± 0.2,89.1 ± 0.8,22.4 ± 2.6,28.3 ± 1.3,72.4 ± 1.7,76.7 ± 4.8,70.5 ± 3.6,62.5 ± 4.7,66.5 ± 4.1,93.7 ± 1.2,95.0 ± 0.5,80.0 ± 6.9,74.7 ± 8.3,68.0 ± 4.0
battery_socket_connector,63.7 ± 3.3,91.2 ± 1.1,92.3 ± 0.2,84.4 ± 0.9,21.5 ± 2.1,24.1 ± 0.7,47.3 ± 1.4,90.8 ± 5.6,85.3 ± 5.2,79.8 ± 2.7,72.4 ± 5.6,95.2 ± 1.5,94.4 ± 0.4,89.3 ± 8.3,88.0 ± 6.9,73.3 ± 4.6
bend_connector,80.3 ± 2.9,96.7 ± 0.5,93.3 ± 0.1,91.8 ± 0.7,55.2 ± 3.7,52.8 ± 3.4,77.5 ± 1.3,87.3 ± 3.3,76.9 ± 2.9,63.0 ± 9.7,89.3 ± 3.0,98.5 ± 0.5,95.9 ± 0.9,54.7 ± 20.1,48.0 ± 20.0,34.7 ± 9.2
blade_switch,83.8 ± 0.9,97.3 ± 0.2,95.0 ± 0.3,96.1 ± 0.3,64.7 ± 3.4,62.3 ± 3.0,83.5 ± 1.1,71.5 ± 3.2,58.9 ± 0.9,47.7 ± 0.9,83.9 ± 1.0,97.4 ± 0.4,95.2 ± 0.3,70.7 ± 9.2,60.0 ± 6.9,50.7 ± 8.3
blue_light_switch,66.2 ± 3.7,90.8 ± 1.6,92.7 ± 0.1,92.6 ± 0.4,20.0 ± 0.9,30.2 ± 1.3,71.3 ± 1.4,90.7 ± 3.3,83.1 ± 3.3,73.1 ± 4.0,63.2 ± 6.3,92.0 ± 2.1,94.4 ± 0.1,85.3 ± 6.1,81.3 ± 6.1,78.7 ± 6.1
bluetooth_module,93.0 ± 1.3,99.1 ± 0.2,95.7 ± 0.4,96.0 ± 0.5,77.0 ± 2.8,69.0 ± 2.8,85.8 ± 1.6,57.6 ± 4.5,40.5 ± 6.8,24.3 ± 2.3,96.5 ± 1.6,99.6 ± 0.2,96.9 ± 0.8,38.7 ± 12.9,21.3 ± 10.1,6.7 ± 6.1
boost_converter_module,73.4 ± 4.3,93.8 ± 1.3,91.3 ± 0.1,92.6 ± 0.8,52.9 ± 4.9,49.1 ± 4.2,62.4 ± 3.7,92.5 ± 0.9,82.9 ± 3.6,70.5 ± 3.6,78.7 ± 6.7,96.8 ± 1.2,94.4 ± 0.3,86.7 ± 6.1,81.3 ± 4.6,61.3 ± 6.1
bread_model,79.0 ± 0.8,96.2 ± 0.1,92.8 ± 0.1,96.0 ± 0.2,69.4 ± 1.4,66.0 ± 1.1,79.2 ± 0.8,89.3 ± 1.4,80.3 ± 4.0,66.5 ± 5.1,82.4 ± 1.3,97.4 ± 0.2,94.6 ± 0.4,82.7 ± 2.3,69.3 ± 6.1,49.3 ± 12.2
brooch_clasp_accessory,95.5 ± 0.6,99.3 ± 0.1,96.1 ± 0.1,97.8 ± 0.1,80.6 ± 0.4,74.3 ± 0.5,88.7 ± 0.4,45.4 ± 1.1,30.0 ± 2.1,14.7 ± 4.0,99.9 ± 0.1,100.0 ± 0.0,99.5 ± 0.3,1.3 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,77.5 ± 7.8,95.7 ± 1.4,95.5 ± 0.4,90.9 ± 2.6,18.7 ± 5.7,22.3 ± 4.9,66.9 ± 8.3,59.1 ± 11.1,51.3 ± 13.0,45.6 ± 14.7,78.9 ± 4.8,96.6 ± 0.8,95.5 ± 1.2,73.3 ± 19.7,64.0 ± 10.6,58.7 ± 8.3
button_motor,93.1 ± 1.4,99.0 ± 0.2,96.0 ± 0.7,99.1 ± 0.1,84.3 ± 0.5,77.6 ± 0.4,93.6 ± 0.6,50.7 ± 15.1,34.7 ± 13.0,20.8 ± 5.8,93.5 ± 0.5,99.0 ± 0.1,97.2 ± 0.7,37.3 ± 8.3,29.3 ± 6.1,20.0 ± 0.0
button_switch,82.4 ± 0.9,97.4 ± 0.2,94.2 ± 0.1,99.3 ± 0.0,83.8 ± 0.3,75.5 ± 0.4,86.4 ± 1.1,89.9 ± 1.2,75.2 ± 0.8,53.9 ± 6.0,88.7 ± 2.1,98.4 ± 0.3,95.8 ± 0.3,58.7 ± 12.2,53.3 ± 8.3,40.0 ± 8.0
car_door_lock_switch,64.6 ± 2.5,93.7 ± 0.5,94.2 ± 0.1,95.6 ± 0.4,26.1 ± 1.7,31.4 ± 0.5,80.1 ± 1.6,93.1 ± 4.0,85.3 ± 6.5,77.6 ± 5.2,64.2 ± 2.7,94.2 ± 0.5,94.2 ± 0.1,94.7 ± 4.6,89.3 ± 8.3,84.0 ± 6.9
ceramic_fuse,64.1 ± 1.2,92.3 ± 1.1,94.2 ± 0.0,84.6 ± 1.0,14.7 ± 0.7,23.6 ± 1.6,66.0 ± 1.5,94.4 ± 1.4,91.2 ± 0.8,78.9 ± 3.2,63.7 ± 14.7,91.7 ± 4.9,94.5 ± 0.5,82.7 ± 12.2,74.7 ± 11.5,64.0 ± 17.4
ceramic_wave_filter,85.1 ± 1.4,98.0 ± 0.2,94.2 ± 0.1,94.7 ± 0.2,53.2 ± 1.3,56.8 ± 1.4,78.9 ± 0.3,90.9 ± 3.8,74.1 ± 3.8,58.1 ± 6.5,87.2 ± 2.0,98.3 ± 0.2,94.3 ± 0.2,89.3 ± 6.1,80.0 ± 0.0,57.3 ± 10.1
charging_port,76.2 ± 1.9,95.4 ± 0.4,93.8 ± 0.2,91.3 ± 1.3,33.4 ± 4.8,38.7 ± 3.5,75.6 ± 2.0,84.0 ± 1.1,70.6 ± 2.8,55.6 ± 3.9,73.8 ± 3.5,95.9 ± 0.5,94.3 ± 0.3,88.0 ± 8.0,73.3 ± 10.1,66.7 ± 8.3
chip-inductor,76.7 ± 4.3,96.2 ± 0.7,94.3 ± 0.2,87.6 ± 1.3,34.3 ± 2.0,35.3 ± 1.8,63.8 ± 3.2,85.2 ± 7.5,74.3 ± 12.1,63.0 ± 11.5,80.3 ± 4.0,96.9 ± 0.9,94.6 ± 0.2,81.3 ± 9.2,69.3 ± 4.6,58.7 ± 8.3
circuit_breaker,89.7 ± 1.4,98.3 ± 0.4,95.6 ± 0.3,97.6 ± 0.3,69.1 ± 2.1,63.5 ± 1.9,90.4 ± 1.2,56.2 ± 4.7,40.9 ± 2.7,29.1 ± 0.8,95.7 ± 2.7,99.2 ± 0.8,97.2 ± 0.7,36.0 ± 8.0,18.7 ± 10.1,9.3 ± 6.1
circular_aviation_connector,68.4 ± 3.6,86.1 ± 2.2,88.1 ± 0.1,80.8 ± 1.8,15.6 ± 1.2,22.9 ± 1.5,45.2 ± 4.0,88.0 ± 0.9,79.0 ± 1.1,69.5 ± 1.7,62.1 ± 1.4,92.2 ± 0.1,94.3 ± 0.3,93.3 ± 8.3,82.7 ± 8.3,74.7 ± 4.6
common-mode-choke,71.6 ± 5.4,92.4 ± 1.7,91.2 ± 0.1,91.8 ± 0.5,36.7 ± 8.0,40.9 ± 4.9,71.7 ± 1.4,90.0 ± 2.6,78.1 ± 7.7,67.2 ± 7.5,79.3 ± 5.6,96.8 ± 0.9,94.6 ± 0.5,85.3 ± 14.0,76.0 ± 21.2,69.3 ± 16.2
common-mode-filter,88.9 ± 0.6,98.0 ± 0.2,95.1 ± 0.2,91.6 ± 0.8,38.0 ± 3.1,42.5 ± 1.7,65.7 ± 2.0,66.2 ± 4.6,44.5 ± 0.4,31.0 ± 3.6,88.3 ± 2.0,98.0 ± 0.4,95.2 ± 0.3,72.0 ± 4.0,41.3 ± 9.2,18.7 ± 6.1
connector,76.2 ± 3.1,95.5 ± 0.7,94.4 ± 0.3,90.1 ± 0.8,57.1 ± 0.9,54.9 ± 0.8,58.4 ± 1.6,79.0 ± 5.7,70.5 ± 3.6,61.5 ± 3.1,67.1 ± 9.1,94.1 ± 1.8,94.5 ± 0.4,84.0 ± 8.0,74.7 ± 16.2,72.0 ± 18.3
connector_housing-female,91.0 ± 1.5,98.6 ± 0.3,96.0 ± 0.2,91.3 ± 0.7,58.4 ± 1.8,56.4 ± 1.6,83.3 ± 1.1,51.1 ± 3.8,38.4 ± 3.0,27.0 ± 4.2,96.5 ± 3.0,99.5 ± 0.4,97.7 ± 0.7,28.0 ± 14.4,16.0 ± 10.6,9.3 ± 10.1
console_switch,87.4 ± 1.4,98.2 ± 0.2,94.7 ± 0.1,88.6 ± 0.5,18.2 ± 1.1,26.1 ± 0.9,79.0 ± 0.5,74.7 ± 4.1,65.3 ± 6.5,45.1 ± 4.7,91.9 ± 1.6,98.9 ± 0.2,96.0 ± 0.6,60.0 ± 6.9,49.3 ± 4.6,34.7 ± 6.1
crimp_st_cable_mount_box,82.0 ± 1.5,96.7 ± 0.4,94.3 ± 0.6,98.2 ± 0.2,63.6 ± 2.3,59.0 ± 2.4,88.8 ± 0.6,72.3 ± 9.1,60.8 ± 4.1,51.4 ± 3.7,80.8 ± 1.4,97.2 ± 0.2,95.9 ± 0.3,64.0 ± 4.0,62.7 ± 2.3,60.0 ± 4.0
dc_jack,83.6 ± 2.8,96.4 ± 0.6,93.3 ± 0.4,85.8 ± 0.9,49.6 ± 1.5,46.6 ± 1.6,83.1 ± 0.8,72.7 ± 4.1,57.6 ± 7.0,45.6 ± 8.0,80.9 ± 6.2,96.8 ± 1.1,96.0 ± 1.2,58.7 ± 18.9,53.3 ± 12.9,49.3 ± 14.0
dc_power_connector,90.9 ± 1.2,98.7 ± 0.2,95.6 ± 0.3,90.4 ± 0.8,19.9 ± 0.8,26.7 ± 0.8,83.8 ± 0.9,59.5 ± 3.6,45.1 ± 4.4,30.1 ± 2.8,95.1 ± 1.0,99.3 ± 0.1,97.1 ± 0.8,34.7 ± 16.7,25.3 ± 8.3,17.3 ± 6.1
detection_switch,78.2 ± 0.7,93.8 ± 1.0,91.7 ± 0.1,89.7 ± 0.4,38.4 ± 3.1,42.9 ± 1.2,75.5 ± 0.9,81.5 ± 0.9,68.8 ± 0.6,50.7 ± 3.3,80.0 ± 4.1,96.8 ± 0.9,94.7 ± 0.4,78.7 ± 11.5,62.7 ± 8.3,48.0 ± 4.0
duckbill_circuit_breaker,78.6 ± 1.6,95.2 ± 0.5,93.8 ± 0.4,92.8 ± 1.3,20.6 ± 3.7,32.0 ± 3.3,75.2 ± 1.2,76.3 ± 8.4,60.6 ± 4.9,50.0 ± 2.8,72.9 ± 1.5,94.9 ± 0.2,94.8 ± 0.1,76.0 ± 4.0,68.0 ± 8.0,54.7 ± 8.3
earphone_audio_unit,68.8 ± 1.1,93.4 ± 0.4,93.2 ± 0.0,93.7 ± 0.7,38.1 ± 2.7,39.3 ± 1.9,65.8 ± 3.2,89.7 ± 4.2,83.0 ± 3.4,74.5 ± 3.1,75.6 ± 1.1,95.9 ± 0.3,94.2 ± 0.1,89.3 ± 2.3,78.7 ± 6.1,60.0 ± 4.0
effect_transistor,81.3 ± 5.0,95.1 ± 1.6,90.7 ± 0.4,98.8 ± 0.1,84.7 ± 4.5,76.5 ± 5.6,87.3 ± 0.7,83.8 ± 4.5,74.2 ± 3.0,55.4 ± 7.0,82.0 ± 5.7,97.0 ± 1.0,94.9 ± 0.6,80.0 ± 12.0,61.3 ± 12.9,37.3 ± 4.6
electronic_watch_movement,72.4 ± 2.1,95.5 ± 0.4,94.1 ± 0.1,93.8 ± 1.0,31.6 ± 7.3,34.4 ± 6.7,64.5 ± 2.6,94.4 ± 0.8,81.6 ± 9.2,72.3 ± 9.1,74.9 ± 4.4,96.2 ± 0.6,94.2 ± 0.2,89.3 ± 9.2,85.3 ± 9.2,68.0 ± 14.4
ethernet-connector,85.7 ± 5.8,96.9 ± 1.6,93.8 ± 0.3,94.6 ± 0.3,32.3 ± 2.4,38.7 ± 2.1,75.5 ± 1.2,68.1 ± 3.6,55.9 ± 4.1,38.6 ± 14.5,82.7 ± 12.4,97.1 ± 2.2,94.5 ± 1.5,80.0 ± 24.3,65.3 ± 39.5,50.7 ± 33.5
ferrite_bead,84.2 ± 1.4,97.7 ± 0.2,93.8 ± 0.1,96.8 ± 0.1,78.8 ± 2.1,75.1 ± 1.8,81.8 ± 1.1,91.5 ± 2.2,80.6 ± 6.5,66.9 ± 11.4,89.3 ± 2.1,98.6 ± 0.3,94.6 ± 0.3,84.0 ± 12.0,76.0 ± 6.9,46.7 ± 10.1
ffc_connector_plug,77.1 ± 19.5,94.1 ± 5.2,95.1 ± 3.0,93.7 ± 1.2,25.8 ± 20.3,29.9 ± 16.9,65.9 ± 5.0,54.9 ± 33.7,52.3 ± 30.5,49.8 ± 27.2,79.1 ± 32.0,96.4 ± 5.6,97.7 ± 3.1,38.7 ± 53.1,38.7 ± 53.1,36.0 ± 52.0
flow_control_valve,81.7 ± 0.2,96.5 ± 0.2,93.4 ± 0.4,96.2 ± 0.4,61.3 ± 2.2,59.1 ± 1.3,85.6 ± 1.3,78.9 ± 6.4,66.2 ± 4.0,57.1 ± 4.1,86.4 ± 2.0,97.8 ± 0.4,95.4 ± 0.5,72.0 ± 8.0,56.0 ± 8.0,40.0 ± 4.0
flower_copper_shape,91.6 ± 0.4,98.9 ± 0.1,95.1 ± 0.2,93.3 ± 0.2,72.0 ± 0.5,68.3 ± 0.5,85.1 ± 0.2,65.6 ± 4.2,47.7 ± 3.9,30.1 ± 2.8,94.5 ± 0.7,99.3 ± 0.1,96.3 ± 0.4,50.7 ± 6.1,30.7 ± 6.1,20.0 ± 4.0
flower_velvet_fabric,83.3 ± 1.2,97.6 ± 0.2,94.2 ± 0.1,89.3 ± 0.3,65.0 ± 0.3,61.5 ± 0.3,74.3 ± 0.5,85.6 ± 2.8,69.9 ± 6.9,53.6 ± 3.2,88.5 ± 3.2,98.3 ± 0.6,95.0 ± 0.8,73.3 ± 11.5,54.7 ± 2.3,36.0 ± 10.6
fork-crimp-terminal,82.1 ± 6.0,95.3 ± 1.3,92.7 ± 1.4,95.3 ± 1.3,48.8 ± 2.2,49.0 ± 1.3,86.4 ± 3.1,76.7 ± 17.9,60.0 ± 24.8,47.8 ± 22.8,90.7 ± 11.2,98.7 ± 1.6,96.2 ± 2.0,60.0 ± 35.6,45.3 ± 40.9,29.3 ± 37.0
fuse_cover,78.6 ± 1.1,95.6 ± 0.3,92.1 ± 0.1,95.2 ± 0.6,52.5 ± 1.1,53.1 ± 1.0,81.0 ± 1.6,90.3 ± 3.2,81.6 ± 3.5,62.4 ± 5.3,78.5 ± 1.4,96.9 ± 0.3,95.0 ± 0.3,82.6 ± 8.7,65.2 ± 4.4,58.0 ± 10.0
fuse_holder,82.7 ± 14.2,96.3 ± 3.2,97.2 ± 1.3,87.4 ± 0.1,9.5 ± 0.9,12.1 ± 1.0,48.1 ± 0.2,37.6 ± 20.8,34.7 ± 22.6,31.7 ± 22.6,78.0 ± 21.4,95.9 ± 3.9,96.8 ± 2.4,49.3 ± 40.9,48.0 ± 42.3,42.7 ± 37.2
gear,96.6 ± 0.4,99.4 ± 0.1,97.6 ± 0.1,98.0 ± 0.1,84.2 ± 0.8,77.4 ± 0.7,92.2 ± 0.8,24.3 ± 1.2,14.6 ± 0.5,9.5 ± 0.8,100.0 ± 0.0,100.0 ± 0.0,99.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
gear_motor,67.5 ± 7.2,91.6 ± 2.1,94.8 ± 0.4,83.8 ± 1.9,3.9 ± 0.5,7.6 ± 0.9,72.2 ± 2.5,78.1 ± 6.1,69.3 ± 6.0,61.6 ± 4.2,61.1 ± 12.9,89.6 ± 2.2,96.4 ± 1.1,54.7 ± 18.9,54.7 ± 18.9,54.7 ± 18.9
green-ring-filter,68.6 ± 1.0,86.9 ± 0.6,87.7 ± 0.2,88.9 ± 0.2,10.0 ± 0.8,16.8 ± 0.3,63.0 ± 0.7,91.6 ± 1.4,82.5 ± 2.6,69.8 ± 1.8,85.3 ± 3.4,97.2 ± 1.2,95.6 ± 0.8,61.3 ± 16.2,46.7 ± 6.1,36.0 ± 6.9
hairdryer_switch,88.5 ± 2.2,98.4 ± 0.3,94.8 ± 0.5,98.2 ± 0.4,77.1 ± 2.9,73.2 ± 2.5,73.7 ± 2.6,75.5 ± 11.7,60.0 ± 10.0,43.7 ± 13.4,88.2 ± 1.5,98.4 ± 0.2,95.3 ± 0.3,69.3 ± 2.3,60.0 ± 10.6,49.3 ± 10.1
hall_effect_sensor,92.4 ± 0.1,99.0 ± 0.0,94.8 ± 0.2,82.3 ± 1.1,66.4 ± 0.8,67.4 ± 0.6,58.1 ± 1.1,72.0 ± 4.9,56.5 ± 5.1,31.2 ± 1.4,95.3 ± 0.9,99.4 ± 0.1,96.6 ± 1.0,42.7 ± 16.7,33.3 ± 12.2,12.0 ± 4.0
headphone_jack-female,98.9 ± 0.7,99.8 ± 0.1,98.8 ± 0.1,97.2 ± 0.1,77.8 ± 0.7,72.8 ± 1.0,87.5 ± 0.4,7.1 ± 2.1,4.7 ± 1.4,2.9 ± 3.0,99.9 ± 0.2,100.0 ± 0.1,99.6 ± 0.2,2.7 ± 4.6,0.0 ± 0.0,0.0 ± 0.0
headphone_jack_socket,75.7 ± 7.2,95.8 ± 1.1,94.0 ± 0.2,92.9 ± 0.4,37.7 ± 2.3,43.6 ± 3.4,77.8 ± 7.7,87.2 ± 3.6,76.9 ± 8.1,62.6 ± 16.2,80.0 ± 7.1,96.2 ± 1.0,94.9 ± 0.9,81.3 ± 16.2,72.0 ± 24.3,61.3 ± 28.9
hex_plug,84.7 ± 1.2,97.5 ± 0.3,94.9 ± 0.5,96.1 ± 0.3,65.9 ± 2.7,61.2 ± 2.2,84.5 ± 1.1,72.0 ± 9.0,55.7 ± 4.9,40.3 ± 5.1,76.6 ± 4.0,96.4 ± 0.9,95.2 ± 0.4,77.3 ± 6.1,70.7 ± 2.3,65.3 ± 2.3
humidity_sensor,96.6 ± 0.7,99.5 ± 0.1,96.6 ± 0.3,94.9 ± 0.2,54.6 ± 0.8,54.4 ± 1.5,85.7 ± 0.2,38.8 ± 4.6,20.4 ± 3.4,6.7 ± 2.3,99.5 ± 0.1,99.9 ± 0.0,99.3 ± 0.4,1.3 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
ingot_buckle,93.3 ± 3.6,99.0 ± 0.6,96.2 ± 0.5,98.6 ± 0.2,74.4 ± 1.2,68.4 ± 1.0,90.4 ± 0.8,47.7 ± 7.8,35.7 ± 8.8,22.1 ± 10.1,92.2 ± 9.0,98.9 ± 1.3,96.8 ± 1.5,45.3 ± 33.5,37.3 ± 34.9,25.3 ± 34.0
insect_metal_parts,74.8 ± 0.3,95.1 ± 0.1,93.5 ± 0.2,90.0 ± 1.1,24.1 ± 1.0,30.1 ± 0.8,77.8 ± 1.1,88.6 ± 2.5,77.5 ± 2.7,65.0 ± 4.1,84.3 ± 2.0,97.8 ± 0.3,94.6 ± 0.2,78.7 ± 2.3,68.0 ± 4.0,56.0 ± 8.0
inverter_connector,84.6 ± 2.9,97.7 ± 0.6,94.8 ± 0.2,97.7 ± 0.2,68.3 ± 3.9,62.1 ± 3.7,93.8 ± 0.6,73.1 ± 2.4,62.4 ± 0.8,45.9 ± 6.5,91.8 ± 5.0,98.8 ± 0.8,96.3 ± 0.6,49.3 ± 6.1,33.3 ± 14.0,24.0 ± 18.3
jam_jar_model,67.4 ± 0.6,89.3 ± 0.6,91.0 ± 0.1,75.9 ± 0.2,20.2 ± 1.3,33.9 ± 2.7,74.7 ± 1.0,95.5 ± 1.2,90.6 ± 1.9,75.3 ± 2.0,52.9 ± 2.3,90.5 ± 1.5,94.2 ± 0.1,96.0 ± 4.0,92.0 ± 4.0,88.0 ± 4.0
joystick_switch,99.4 ± 0.3,99.9 ± 0.1,98.8 ± 0.3,99.6 ± 0.1,88.3 ± 0.5,81.5 ± 0.5,99.1 ± 0.1,7.5 ± 4.1,1.9 ± 1.2,1.1 ± 0.5,100.0 ± 0.1,100.0 ± 0.0,99.8 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
kfc_push-key_switch,78.4 ± 1.5,96.4 ± 0.3,94.0 ± 0.1,86.1 ± 0.6,34.8 ± 2.8,37.2 ± 3.1,59.0 ± 1.1,89.2 ± 3.4,77.0 ± 9.0,62.8 ± 3.6,89.4 ± 3.3,98.4 ± 0.6,95.6 ± 0.8,65.3 ± 4.6,46.7 ± 20.5,34.7 ± 10.1
